Dia,Mes,Anio,Estacion,Alcaldia,Latitud,Longitud,avgAQI
16,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,64
16,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,8
16,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,91
16,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,104
16,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,6
16,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,87
16,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,13
16,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,89
16,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,138
16,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,8
17,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,31
17,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,66
17,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,121
17,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,119
17,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,29
17,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,33
17,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,73
17,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,28
17,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,128
17,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,114
17,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,25
17,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,101
17,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,36
17,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,116
17,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,141
17,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,36
18,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,29
18,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,106
18,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,124
18,1,2016,Camarones,AZCAPOTZALCO,19.4684047698975,-99.169792175293,146
18,1,2016,Centro de Ciencias de la Atmosfera,COYOACAN,19.3261108398438,-99.1761093139648,28
18,1,2016,Coyoacan,COYOACAN,19.3502578735352,-99.1571044921875,26
18,1,2016,Cuajimalpa,CUAJIMALPA DE MORELOS,19.3653125762939,-99.2917022705078,113
18,1,2016,Gustavo A. Madero,GUSTAVO A MADERO,19.4827003479004,-99.0945205688477,24
18,1,2016,Hospital General de Mexico,CUAUHTEMOC,19.4116172790527,-99.1522064208984,122
18,1,2016,Iztacalco,IZTACALCO,19.3844127655029,-99.1176376342773,111
18,1,2016,Merced,VENUSTIANO CARRANZA,19.4246101379395,-99.1195907592773,17
18,1,2016,Miguel Hidalgo,MIGUEL HIDALGO,19.4040508270264,-99.2026596069336,123
18,1,2016,Pedregal,ALVARO OBREGON,19.3251457214355,-99.2041397094727,39
18,1,2016,Tlahuac,TLAHUAC,19.2464580535889,-99.0105667114258,105
18,1,2016,UAM Iztapalapa,IZTAPALAPA,19.3607940673828,-99.0738830566406,139
18,1,2016,UAM Xochimilco,COYOACAN,19.3044414520264,-99.103630065918,32
19,1,2016,Ajusco,TLALPAN,19.1542854309082,-99.1626129150391,25
19,1,2016,Ajusco Medio,TLALPAN,19.2721614837646,-99.2077407836914,134
19,1,2016,Benito Juarez,BENITO JUAREZ,19.3704643249512,-99.1595993041992,152
