,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
75,9_1_2016_IZTAP,9,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,105,40,0.25845,0.00015,1.20472
76,9_1_2016_MIGUE,9,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,78,10,0.0727,0.17233,0.40209
77,9_1_2016_TLAHU,9,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,71,2,0.07758,0.16359,0.47823
78,9_1_2016_TLALP,9,1,2016,19.2721614837646,-99.2077407836914,TLALPAN,4,56,10,-0.03953,0.46228,-0.23408
79,9_1_2016_VENUS,9,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,113,14,0.09313,0.09526,0.50963
80,10_1_2016_BENIT,10,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,77,6,0.04583,0.38995,0.31513
81,10_1_2016_CUAJI,10,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,48,2,0.05489,0.40533,0.27603
82,10_1_2016_CUAUH,10,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,65,18,0.09876,0.06456,0.54579
83,10_1_2016_IZTAC,10,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,66,16,0.13991,0.01036,0.74039
84,10_1_2016_IZTAP,10,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,69,34,0.25845,0.00015,1.20472
85,10_1_2016_MIGUE,10,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,53,2,0.0727,0.17233,0.40209
86,10_1_2016_TLAHU,10,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,69,8,0.07758,0.16359,0.47823
87,10_1_2016_VENUS,10,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,84,4,0.09313,0.09526,0.50963
88,11_1_2016_BENIT,11,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,94,2,0.04583,0.38995,0.31513
89,11_1_2016_CUAUH,11,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,82,24,0.09876,0.06456,0.54579
90,11_1_2016_IZTAC,11,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,87,10,0.13991,0.01036,0.74039
