,ID,Dia,Mes,Anio,Latitud,Longitud,Alcaldia,Alcaldia_num,AQI,Crimenes,r,p value,% / 10 AQI
133,11_1_2016_GUSTA,11,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,23,10,0.1401,0.00803,1.3659
134,11_1_2016_IZTAC,11,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,87,5,0.11471,0.03191,0.53143
135,11_1_2016_IZTAP,11,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,91,18,0.0709,0.1795,0.1876
136,11_1_2016_TLAHU,11,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,89,2,0.06017,0.27215,0.34631
137,11_1_2016_TLALP,11,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,24,7,0.07686,0.14441,0.5717
138,11_1_2016_VENUS,11,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,100,4,0.03224,0.54488,0.13043
139,12_1_2016_ALVAR,12,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,13,8,-0.00885,0.87071,-0.07645
140,12_1_2016_AZCAP,12,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,6,8,-0.02489,0.64123,-0.10199
141,12_1_2016_BENIT,12,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,126,4,0.04593,0.38688,0.298
142,12_1_2016_COYOA,12,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,13,4,0.21894,3e-05,2.00756
143,12_1_2016_CUAJI,12,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,83,1,0.07397,0.26074,0.28515
144,12_1_2016_CUAUH,12,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,114,10,0.11413,0.02903,0.55094
145,12_1_2016_GUSTA,12,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,8,14,0.1401,0.00803,1.3659
146,12_1_2016_IZTAC,12,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,105,7,0.11471,0.03191,0.53143
147,12_1_2016_IZTAP,12,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,119,17,0.0709,0.1795,0.1876
148,12_1_2016_MIGUE,12,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,99,4,0.05957,0.26429,0.31492
149,12_1_2016_TLAHU,12,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,90,2,0.06017,0.27215,0.34631
150,12_1_2016_TLALP,12,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,20,3,0.07686,0.14441,0.5717
151,12_1_2016_VENUS,12,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,136,7,0.03224,0.54488,0.13043
152,13_1_2016_ALVAR,13,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,14,4,-0.00885,0.87071,-0.07645
153,13_1_2016_AZCAP,13,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,8,3,-0.02489,0.64123,-0.10199
154,13_1_2016_CUAJI,13,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,53,1,0.07397,0.26074,0.28515
155,13_1_2016_CUAUH,13,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,75,8,0.11413,0.02903,0.55094
156,13_1_2016_GUSTA,13,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,8,14,0.1401,0.00803,1.3659
157,13_1_2016_IZTAP,13,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,71,15,0.0709,0.1795,0.1876
158,13_1_2016_MIGUE,13,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,68,2,0.05957,0.26429,0.31492
159,13_1_2016_TLAHU,13,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,38,1,0.06017,0.27215,0.34631
160,13_1_2016_TLALP,13,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,23,6,0.07686,0.14441,0.5717
161,13_1_2016_VENUS,13,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,8,1,0.03224,0.54488,0.13043
162,14_1_2016_ALVAR,14,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,12,9,-0.00885,0.87071,-0.07645
163,14_1_2016_AZCAP,14,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,11,4,-0.02489,0.64123,-0.10199
164,14_1_2016_BENIT,14,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,61,9,0.04593,0.38688,0.298
165,14_1_2016_COYOA,14,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,15,5,0.21894,3e-05,2.00756
166,14_1_2016_CUAJI,14,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,41,1,0.07397,0.26074,0.28515
167,14_1_2016_CUAUH,14,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,55,6,0.11413,0.02903,0.55094
168,14_1_2016_GUSTA,14,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,13,15,0.1401,0.00803,1.3659
169,14_1_2016_IZTAC,14,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,54,4,0.11471,0.03191,0.53143
170,14_1_2016_IZTAP,14,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,50,13,0.0709,0.1795,0.1876
171,14_1_2016_MIGUE,14,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,51,1,0.05957,0.26429,0.31492
172,14_1_2016_TLAHU,14,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,26,3,0.06017,0.27215,0.34631
173,14_1_2016_TLALP,14,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,24,4,0.07686,0.14441,0.5717
174,14_1_2016_VENUS,14,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,8,4,0.03224,0.54488,0.13043
175,15_1_2016_ALVAR,15,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,19,5,-0.00885,0.87071,-0.07645
176,15_1_2016_AZCAP,15,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,81,10,-0.02489,0.64123,-0.10199
177,15_1_2016_BENIT,15,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,86,2,0.04593,0.38688,0.298
178,15_1_2016_COYOA,15,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,21,10,0.21894,3e-05,2.00756
179,15_1_2016_CUAJI,15,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,56,1,0.07397,0.26074,0.28515
180,15_1_2016_CUAUH,15,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,80,16,0.11413,0.02903,0.55094
181,15_1_2016_GUSTA,15,1,2016,19.4827003479004,-99.0945205688477,GUSTAVO A MADERO,12,13,15,0.1401,0.00803,1.3659
182,15_1_2016_IZTAC,15,1,2016,19.3844127655029,-99.1176376342773,IZTACALCO,3,90,4,0.11471,0.03191,0.53143
183,15_1_2016_IZTAP,15,1,2016,19.3607940673828,-99.0738830566406,IZTAPALAPA,10,93,14,0.0709,0.1795,0.1876
184,15_1_2016_MIGUE,15,1,2016,19.4040508270264,-99.2026596069336,MIGUEL HIDALGO,9,45,4,0.05957,0.26429,0.31492
185,15_1_2016_TLAHU,15,1,2016,19.2464580535889,-99.0105667114258,TLAHUAC,6,61,2,0.06017,0.27215,0.34631
186,15_1_2016_TLALP,15,1,2016,19.1542854309082,-99.1626129150391,TLALPAN,4,28,6,0.07686,0.14441,0.5717
187,15_1_2016_VENUS,15,1,2016,19.4246101379395,-99.1195907592773,VENUSTIANO CARRANZA,2,12,7,0.03224,0.54488,0.13043
188,16_1_2016_ALVAR,16,1,2016,19.3251457214355,-99.2041397094727,ALVARO OBREGON,11,13,6,-0.00885,0.87071,-0.07645
189,16_1_2016_AZCAP,16,1,2016,19.4684047698975,-99.169792175293,AZCAPOTZALCO,7,129,4,-0.02489,0.64123,-0.10199
190,16_1_2016_BENIT,16,1,2016,19.3704643249512,-99.1595993041992,BENITO JUAREZ,1,112,3,0.04593,0.38688,0.298
191,16_1_2016_COYOA,16,1,2016,19.3044414520264,-99.103630065918,COYOACAN,14,8,6,0.21894,3e-05,2.00756
192,16_1_2016_CUAJI,16,1,2016,19.3653125762939,-99.2917022705078,CUAJIMALPA DE MORELOS,5,64,1,0.07397,0.26074,0.28515
193,16_1_2016_CUAUH,16,1,2016,19.4116172790527,-99.1522064208984,CUAUHTEMOC,8,91,13,0.11413,0.02903,0.55094
